context_1	context_0	reply	label			
	Есть расписание добавления новых курсов?	Расписания добавления новых курсов нет. 	good			
	Есть ли фильтр в разделе курсов?	Фильтра в разделе курсов нет, но есть поиск, который позволяет по ключевым словам найти нужный курс.	good			
	Можно ли поставить кастомное оформление цветовой схемы сайта?	Нет, такой функции на платформе нет и она не планируется.	good			
	Где я могу увидеть политику конфидециальности сайта?	Во вкладке правила пользования платформой (ссылка не активна)	good			
	Есть ли форум, на котором можно обсуждать задания по курсам?	Нет	good			
	Отправил отчет с ошибкой на эл.почту, когда я получу ответ об исправлении ошибки?	Ответ об исправлении ошибки вы можете получить в течение семи рабочих дней.	good			
	Где находится ссылка на социальные сети платформы?	Социальных сетей у платформы нет.	good			
	Есть ли список глобальных изменений сайта, о которых в будущем необходимо меня уведомить?	Списка будущих глобальных изменений сайта нет, все новости об изменениях платформы находятся на главной странице.	good			
	Как включить уведомления об изменениях в моих курсах?	Нет, такой функции на платформе нет и она не планируется.	good			
	В обменнике нет того, что я хочу, можно ли написать в поддержку для добавления?	Да.	good			
	Как добавить курсы в избранные?	Такой функции на платформе нет, но она планируется.	good			
	Можно ли добавить курс в архивный, если уже полностью прошел его?	Нет, такой функции на платформе нет и она не планируется.	good			
	Как можно подробнее узнать о курсе без регистрации на сайте?	Без регистрации на платформе нельзя узнать подробности о курсе.	good			
	Кто может добавлять новые курсы на сайт?	Новые курсы на сайт могут добавлять преподаватели.	good			
	Необходимо ли иметь определенный уровень образования, чтобы опубликовать свой курс?	Нужно иметь квалификацию в той сфере, в которой составляется курс, иначе опубликовать курс невозможно. 	good			
	Есть ли ссылки на официальную документацию, по которой были получены ответы на вопросы в курсе?	Нет.	good			
	Можно ли изменить шрифт текста на сайте?	Нет, такой функции на платформе нет и она не планируется.	good			
	Есть ли режим для слабо видящих?	Нет, такой функции на платформе нет и она не планируется.	good			
	Есть ли озвучка заданий, для людей с плохим зрением?	Нет, такой функции на платформе нет и она не планируется.	good			
	Есть ли видеозаписи, где лектор читает лекции, которые есть в курсе? 	Нет, такой функции на платформе нет и она не планируется.	good			
	Зашёл с телефона, весь сайт полетел, что делать?	Если весь сайт полетел с телефона, можно перезагрузить страницу или попробовать зайти на сайт с другого устройства.	good			
	Не могу начать курс, что делать?	Если не удается начать курс, можно обратиться в техническую поддержку сайта или связаться с создателями курса для получения помощи.	good			
	Что за курс - rnj? 	RNJ - это неизвестный акроним, необходимо уточнить, о каком курсе идет речь.	good			
	Ошибка: аккаунт уже зарегистрирован, хотя я войти не могу. Что делать?	Если пишет, что аккаунт уже зарегистрирован, можно попробовать восстановить пароль или связаться с технической поддержкой сайта для получения помощи.	good			
	На каких сервисах я могу воспользоваться купонами?	Все сведения о сервисах, на которых можно воспользоваться купонами, находятся в разделе с обменником.	good			
	Есть ли на сайте возможность задать вопросы создателям курса?	" Для задания вопросов создателям курса можно воспользоваться разделом ""Контакты"" на сайте или отправить электронное письмо."	good			
	Могу ли я получить поддержку технической службы, если у меня возникли проблемы с использованием сайта?	Если возникли проблемы с использованием сайта, можно обратиться в техническую поддержку для получения помощи.	good			
	Не могу посмотреть типы личностей.	Если не удается посмотреть типы личностей из-за проблем с сайтом, можно попробовать перезагрузить страницу или связаться с технической поддержкой сайта.	good			
						
						
						
						
						
						
	Можно ли получить поддержку от других студентов на сайте?	Такой функции на платформе нет, но она планируется.	good			
	 Есть ли на сайте возможность получить поддержку в выборе курса?	Для получения поддержки в выборе курса можно прочитать описание курса.	good			
	Где я могу прочитать отзывы о курсах от других студентов?	Такой функции на платформе нет, но она планируется.	good			
	Можно ли получить доступ к материалам курса после его окончания?	Возможность доступа к материалам курса после его окончания зависит от конкретного курса и может быть указана в описании курса.	good			
	Какие требования к компьютеру и интернет-соединению для использования сайта?	Требования к компьютеру и интернет-соединению для использования сайта могут быть указаны на сайте или в описании курса.	good			
	Как часто обновляются материалы на сайте?	Частота обновления материалов на сайте может зависеть от конкретного курса и необходимо уточнить эту информацию на сайте или у создателей курса.	good			
	Не засчитались баллы за тестирование, что делать?	Обратитесь в техническую поддержку сайта или свяжитесь с создателями курса для получения помощи.	good			
	Нашел ошибку в лекции, куда обратиться?	Обратитесь в техническую поддержку сайта или свяжитесь с создателями курса.	good			
	Нашел ошибку в тесте, куда обратиться?	Обратитесь в техническую поддержку сайта или свяжитесь с создателями курса.	good			
	Как изменить почту?	Обратитесь в техническую поддержку сайта или свяжитесь с создателями курса.	good			
	Ошибка аккаунт уже существует, как такое возможно?	Обратитесь в техническую поддержку сайта или свяжитесь с создателями курса для получения помощи.	good			
	Есть ли возможность пройти курс в офлайн-формате?	Нет, такой функции на платформе нет и она не планируется.	good			
	Где я могу увидеть историю своих покупок в обменнике баллов?	Историю своих покупок можно увидеть в личном кабинете.	good			
						
	Как узнать, сколько у меня осталось баллов?	Оставшиеся баллы можно увидеть в личном кабинете или в обменнике.	good			
	Есть ли возможность получить дополнительные бонусные баллы за активность на платформе?	Нет, такой функции на платформе нет и она не планируется.	good			
	Как я могу связаться с составителем курса напрямую?	Авторы курса оставляют свои контактные данные (почту и/или номер телефона), чтобы была возможность с ними связаться.	good			
	Можно ли просмотреть отзывы других студентов о курсе перед тем, как записаться на него?	Такой функции на платформе нет, но она планируется.	good			
	Есть ли на платформе уровень ранжирвоания студентов по активности и баллам?	Такой функции на платформе нет, но она планируется.	good			
	Где я могу найти ответы на задания, если я хочу их проверить после прохождения?	В разделе обзора задания.	good			
	Есть ли у вас мобильное приложение для удобства доступа к курсам с телефона?	Нет, такого приложения не планируется.	good			
	Как я могу следить за новостями и обновлениями платформы?	На главной странеце платформы.	good			
